Country,Year,Life_expectancy_at_birth,Expected_years_of_schooling,Average_of_years_of_schooling,GNI_per_capita_PPP,life_expectancy_index,Education_Index,GNI_Index,HDI_1,HDI_calculated,HDI_3
Zimbabwe,2018,61.20,10.45,8.34,2661.07,0.63,0.58,0.50,0.56,0.57,0.56
Zimbabwe,2017,60.812,10.3,8.20,2860.00,0.63,0.57,0.51,0.55,0.57,0.54
Zimbabwe,2016,60.294,10.3,8.20,2570.00,0.62,0.57,0.49,0.55,0.56,0.53
Zimbabwe,2015,59.534,10.3,8.20,2410.00,0.61,0.57,0.48,0.54,0.55,0.53
Zimbabwe,2014,58.41,10.3,8.20,2370.00,0.59,0.57,0.48,,0.54,0.53
Zimbabwe,1990,58.100,9.8,4.53,1100.00,0.59,0.45,0.36,,0.46,0.49
Zimbabwe,2013,56.897,10.2,8.00,2310.00,0.57,0.56,0.47,0.53,0.53,0.52
Zimbabwe,1991,56.749,10.2,4.70,1160.00,0.57,0.47,0.37,,0.46,0.49
Zimbabwe,1992,55.243,9.8,4.90,1050.00,0.54,0.46,0.36,,0.45,0.48
Zimbabwe,2012,55.032,10.3,7.90,2070.00,0.54,0.56,0.46,,0.52,0.51
Zimbabwe,1993,53.653,9.8,5.10,1080.00,0.52,0.47,0.36,,0.44,0.48
Zimbabwe,2011,52.896,9.8,7.30,1800.00,0.51,0.53,0.44,,0.49,0.48
Zimbabwe,1994,52.044,9.8,5.30,1180.00,0.49,0.47,0.37,,0.44,0.47
Zimbabwe,2010,50.64,10.1,7.30,1610.00,0.47,0.54,0.42,0.47,0.47,0.47
Zimbabwe,1995,50.480,9.8,5.50,1180.00,0.47,0.48,0.37,,0.44,0.47
Zimbabwe,1996,49.009,9.8,5.70,1330.00,0.45,0.49,0.39,,0.44,0.47
Zimbabwe,2009,48.449,10,7.20,1330.00,0.44,0.53,0.39,,0.45,0.45
Zimbabwe,1997,47.661,9.8,5.90,1360.00,0.43,0.49,0.39,,0.43,0.46
Zimbabwe,2008,46.504,9.9,7.00,790.00,0.41,0.52,0.31,,0.41,0.44
Zimbabwe,1998,46.466,9.8,6.10,1380.00,0.41,0.50,0.40,,0.43,0.45
Zimbabwe,1999,45.461,9.8,6.30,1390.00,0.39,0.50,0.40,,0.43,0.45
Zimbabwe,2007,44.947,9.7,7.00,980.00,0.38,0.52,0.34,,0.41,0.44
Zimbabwe,2000,44.649,9.8,6.50,1370.00,0.38,0.51,0.40,,0.42,0.44
Zimbabwe,2001,44.010,10,6.70,1420.00,0.37,0.52,0.40,,0.43,0.44
Zimbabwe,2006,43.853,9.6,6.80,1010.00,0.37,0.51,0.35,,0.40,0.44
Zimbabwe,2002,43.523,9.5,6.90,1320.00,0.36,0.51,0.39,,0.42,0.44
Zimbabwe,2005,43.241,9.5,6.80,1040.00,0.36,0.51,0.35,,0.40,0.43
Zimbabwe,2003,43.195,9.2,6.80,1120.00,0.36,0.50,0.36,,0.40,0.43
Zimbabwe,2004,43.065,9.3,6.80,1070.00,0.35,0.50,0.36,,0.40,0.43
Zambia,2018,63.51,12.06,7.10,3581.89,0.67,0.60,0.54,0.59,0.60,0.59
Zambia,2017,63.043,12.5,7.00,3330.00,0.66,0.61,0.53,0.59,0.60,0.59
Zambia,2016,62.464,12.5,7.00,3330.00,0.65,0.61,0.53,0.58,0.60,0.59
Zambia,2015,61.737,12.5,6.90,3370.00,0.64,0.61,0.53,0.57,0.59,0.58
Zambia,2014,60.831,12.5,6.90,3470.00,0.63,0.61,0.54,,0.59,0.58
Zambia,2013,59.746,12.5,6.80,3440.00,0.61,0.61,0.53,0.56,0.58,0.57
Zambia,2012,58.502,12.5,6.70,3380.00,0.59,0.60,0.53,,0.57,0.57
Zambia,2011,57.126,12.3,6.70,3160.00,0.57,0.60,0.52,,0.56,0.56
Zambia,2010,55.655,12,6.60,2970.00,0.55,0.58,0.51,0.53,0.55,0.54
Zambia,2009,54.13,11.8,6.50,2850.00,0.53,0.57,0.51,,0.53,0.53
Zambia,2008,52.606,11.6,6.50,2530.00,0.50,0.57,0.49,,0.52,0.52
Zambia,2007,51.134,11.4,6.40,2280.00,0.48,0.56,0.47,,0.50,0.50
Zambia,2006,49.757,11.1,6.40,2150.00,0.46,0.55,0.46,,0.49,0.49
Zambia,1990,49.249,7.5,4.68,1350.00,0.45,0.38,0.39,,0.41,0.40
Zambia,2005,48.496,10.9,6.30,2020.00,0.44,0.54,0.45,,0.47,0.48
Zambia,1991,48.125,7.7,5.00,1320.00,0.43,0.40,0.39,,0.41,0.40
Zambia,2004,47.354,10.7,6.20,1900.00,0.42,0.53,0.44,,0.46,0.47
