Country,Education_Index,government_trust,cpi_score,gdp_per_capita,freedom,continent
Afghanistan,0.45,0.0548,14.25,0.3508,0.1063,Asia
Afghanistan,0.45,0.0548,14.25,0.3508,0.1063,Asia
Afghanistan,0.45,0.0548,14.25,0.3508,0.1063,Asia
Afghanistan,0.45,0.0548,14.25,0.3508,0.1063,Asia
Albania,0.7725,0.0407,37.25,0.9345,0.3852,Europe
Albania,0.7725,0.0407,37.25,0.9345,0.3852,Europe
Albania,0.7725,0.0407,37.25,0.9345,0.3852,Europe
Albania,0.7725,0.0407,37.25,0.9345,0.3852,Europe
Algeria,0.7025,0.1422,34.5,1.003,0.1705,Africa
Algeria,0.7025,0.1422,34.5,1.003,0.1705,Africa
Algeria,0.7025,0.1422,34.5,1.003,0.1705,Africa
Algeria,0.7025,0.1422,34.5,1.003,0.1705,Africa
Argentina,0.8625,0.0621,36.75,1.101,0.4963,South America
Argentina,0.8625,0.0621,36.75,1.101,0.4963,South America
Argentina,0.8625,0.0621,36.75,1.101,0.4963,South America
Argentina,0.8625,0.0621,36.75,1.101,0.4963,South America
Armenia,0.7625,0.0394,34.5,0.8337,0.2349,Asia
Armenia,0.7625,0.0394,34.5,0.8337,0.2349,Asia
Armenia,0.7625,0.0394,34.5,0.8337,0.2349,Asia
Armenia,0.7625,0.0394,34.5,0.8337,0.2349,Asia
Australia,1.0225,0.3124,78.0,1.3825,0.6142,Australia
Australia,1.0225,0.3124,78.0,1.3825,0.6142,Australia
Australia,1.0225,0.3124,78.0,1.3825,0.6142,Australia
Australia,1.0225,0.3124,78.0,1.3825,0.6142,Australia
Austria,0.875,0.2145,75.5,1.3853,0.5853,Europe
Austria,0.875,0.2145,75.5,1.3853,0.5853,Europe
Austria,0.875,0.2145,75.5,1.3853,0.5853,Europe
Austria,0.875,0.2145,75.5,1.3853,0.5853,Europe
Azerbaijan,0.715,0.1749,28.75,1.0611,0.3874,Asia
Azerbaijan,0.715,0.1749,28.75,1.0611,0.3874,Asia
Azerbaijan,0.715,0.1749,28.75,1.0611,0.3874,Asia
Azerbaijan,0.715,0.1749,28.75,1.0611,0.3874,Asia
Bahrain,0.775,0.199,41.5,1.378,0.5304,Asia
Bahrain,0.775,0.199,41.5,1.378,0.5304,Asia
Bahrain,0.775,0.199,41.5,1.378,0.5304,Asia
Bahrain,0.775,0.199,41.5,1.378,0.5304,Asia
Bangladesh,0.53,0.1341,26.25,0.5196,0.4984,Asia
Bangladesh,0.53,0.1341,26.25,0.5196,0.4984,Asia
Bangladesh,0.53,0.1341,26.25,0.5196,0.4984,Asia
Bangladesh,0.53,0.1341,26.25,0.5196,0.4984,Asia
Belarus,0.8575,0.1608,40.0,1.0736,0.3042,Europe
Belarus,0.8575,0.1608,40.0,1.0736,0.3042,Europe
Belarus,0.8575,0.1608,40.0,1.0736,0.3042,Europe
Belarus,0.8575,0.1608,40.0,1.0736,0.3042,Europe
Belgium,0.9875,0.2317,76.0,1.3629,0.5451,Europe
Belgium,0.9875,0.2317,76.0,1.3629,0.5451,Europe
Belgium,0.9875,0.2317,76.0,1.3629,0.5451,Europe
Belgium,0.9875,0.2317,76.0,1.3629,0.5451,Europe
Benin,0.5225,0.0725,38.0,0.3722,0.4249,Africa
Benin,0.5225,0.0725,38.0,0.3722,0.4249,Africa
Benin,0.5225,0.0725,38.0,0.3722,0.4249,Africa
Benin,0.5225,0.0725,38.0,0.3722,0.4249,Africa
Bolivia,0.71,0.0666,32.25,0.7605,0.5625,South America
Bolivia,0.71,0.0666,32.25,0.7605,0.5625,South America
Bolivia,0.71,0.0666,32.25,0.7605,0.5625,South America
Bolivia,0.71,0.0666,32.25,0.7605,0.5625,South America
Bosnia and Herzegovina,0.7325,0.0021,38.25,0.9187,0.1972,Europe
Bosnia and Herzegovina,0.7325,0.0021,38.25,0.9187,0.1972,Europe
Bosnia and Herzegovina,0.7325,0.0021,38.25,0.9187,0.1972,Europe
Bosnia and Herzegovina,0.7325,0.0021,38.25,0.9187,0.1972,Europe
Botswana,0.68,0.1038,61.25,1.0434,0.503,Africa
Botswana,0.68,0.1038,61.25,1.0434,0.503,Africa
Botswana,0.68,0.1038,61.25,1.0434,0.503,Africa
Botswana,0.68,0.1038,61.25,1.0434,0.503,Africa
Brazil,0.7275,0.1151,37.5,1.0196,0.4527,South America
Brazil,0.7275,0.1151,37.5,1.0196,0.4527,South America
Brazil,0.7275,0.1151,37.5,1.0196,0.4527,South America
Brazil,0.7275,0.1151,37.5,1.0196,0.4527,South America
Bulgaria,0.8225,0.0082,41.75,1.0799,0.3163,Europe
Bulgaria,0.8225,0.0082,41.75,1.0799,0.3163,Europe
Bulgaria,0.8225,0.0082,41.75,1.0799,0.3163,Europe
Bulgaria,0.8225,0.0082,41.75,1.0799,0.3163,Europe
Burkina Faso,0.33,0.1224,40.75,0.3133,0.3216,Africa
Burkina Faso,0.33,0.1224,40.75,0.3133,0.3216,Africa
Burkina Faso,0.33,0.1224,40.75,0.3133,0.3216,Africa
Burkina Faso,0.33,0.1224,40.75,0.3133,0.3216,Africa
Burundi,0.4675,0.1102,20.0,0.061,0.1159,Africa
Burundi,0.4675,0.1102,20.0,0.061,0.1159,Africa
Burundi,0.4675,0.1102,20.0,0.061,0.1159,Africa
Burundi,0.4675,0.1102,20.0,0.061,0.1159,Africa
Cambodia,0.5175,0.0669,20.75,0.5463,0.6502,Asia
Cambodia,0.5175,0.0669,20.75,0.5463,0.6502,Asia
Cambodia,0.5175,0.0669,20.75,0.5463,0.6502,Asia
Cambodia,0.5175,0.0669,20.75,0.5463,0.6502,Asia
Cameroon,0.585,0.0473,25.75,0.5177,0.4396,Africa
Cameroon,0.585,0.0473,25.75,0.5177,0.4396,Africa
Cameroon,0.585,0.0473,25.75,0.5177,0.4396,Africa
Cameroon,0.585,0.0473,25.75,0.5177,0.4396,Africa
Canada,0.9125,0.304,82.0,1.3751,0.6203,North America
Canada,0.9125,0.304,82.0,1.3751,0.6203,North America
Canada,0.9125,0.304,82.0,1.3751,0.6203,North America
Canada,0.9125,0.304,82.0,1.3751,0.6203,North America
Chad,0.3275,0.0611,20.25,0.372,0.1901,Africa
Chad,0.3275,0.0611,20.25,0.372,0.1901,Africa
Chad,0.3275,0.0611,20.25,0.372,0.1901,Africa
Chad,0.3275,0.0611,20.25,0.372,0.1901,Africa
Chile,0.8325,0.082,67.5,1.1625,0.4016,South America
Chile,0.8325,0.082,67.5,1.1625,0.4016,South America
Chile,0.8325,0.082,67.5,1.1625,0.4016,South America
Chile,0.8325,0.082,67.5,1.1625,0.4016,South America
China,0.7025,0.0634,39.25,0.9973,0.5269,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,Asia
Colombia,0.7125,0.0427,36.75,0.9836,0.5033,South America
Colombia,0.7125,0.0427,36.75,0.9836,0.5033,South America
Colombia,0.7125,0.0427,36.75,0.9836,0.5033,South America
Colombia,0.7125,0.0427,36.75,0.9836,0.5033,South America
Costa Rica,0.7525,0.1,57.0,1.0274,0.601,South America
Costa Rica,0.7525,0.1,57.0,1.0274,0.601,South America
Costa Rica,0.7525,0.1,57.0,1.0274,0.601,South America
Costa Rica,0.7525,0.1,57.0,1.0274,0.601,South America
Croatia,0.8125,0.0321,49.25,1.1438,0.2977,Europe
Croatia,0.8125,0.0321,49.25,1.1438,0.2977,Europe
Croatia,0.8125,0.0321,49.25,1.1438,0.2977,Europe
Croatia,0.8125,0.0321,49.25,1.1438,0.2977,Europe
Cyprus,0.82,0.0447,58.0,1.264,0.3977,Asia
Cyprus,0.82,0.0447,58.0,1.264,0.3977,Asia
Cyprus,0.82,0.0447,58.0,1.264,0.3977,Asia
Cyprus,0.82,0.0447,58.0,1.264,0.3977,Asia
Denmark,0.99,0.4256,89.25,1.3855,0.6376,Europe
Denmark,0.99,0.4256,89.25,1.3855,0.6376,Europe
Denmark,0.99,0.4256,89.25,1.3855,0.6376,Europe
Denmark,0.99,0.4256,89.25,1.3855,0.6376,Europe
Dominican Republic,0.6775,0.1158,30.75,0.9929,0.5511,South America
Dominican Republic,0.6775,0.1158,30.75,0.9929,0.5511,South America
Dominican Republic,0.6775,0.1158,30.75,0.9929,0.5511,South America
Dominican Republic,0.6775,0.1158,30.75,0.9929,0.5511,South America
Ecuador,0.73,0.132,32.25,0.9165,0.4987,South America
Ecuador,0.73,0.132,32.25,0.9165,0.4987,South America
Ecuador,0.73,0.132,32.25,0.9165,0.4987,South America
Ecuador,0.73,0.132,32.25,0.9165,0.4987,South America
Egypt,0.6375,0.0879,34.25,0.9174,0.252,Africa
Egypt,0.6375,0.0879,34.25,0.9174,0.252,Africa
Egypt,0.6375,0.0879,34.25,0.9174,0.252,Africa
Egypt,0.6375,0.0879,34.25,0.9174,0.252,Africa
El Salvador,0.6025,0.0909,35.75,0.8186,0.4317,South America
El Salvador,0.6025,0.0909,35.75,0.8186,0.4317,South America
El Salvador,0.6025,0.0909,35.75,0.8186,0.4317,South America
El Salvador,0.6025,0.0909,35.75,0.8186,0.4317,South America
Estonia,0.8925,0.1675,71.0,1.2274,0.494,Europe
Estonia,0.8925,0.1675,71.0,1.2274,0.494,Europe
Estonia,0.8925,0.1675,71.0,1.2274,0.494,Europe
Estonia,0.8925,0.1675,71.0,1.2274,0.494,Europe
